,X,Y
ORB,-0.78304,0.2793
ORB,-0.7530399999999999,0.021
ORB,-0.7581,-0.2394
ORB,-0.75312,0.20449
ORB,-0.72319,-0.28928000000000004
ORB,-0.69825,0.23440999999999998
ORB,-0.69825,0.2793
ORB,-0.69825,0.34913
ORB,-0.69825,0.42394
ORB,-0.67332,-0.054863
ORB,-0.67332,0.49875
ORB,-0.66833,-0.2793
ORB,-0.66833,0.24938000000000002
ORB,-0.6633399999999999,0.20948000000000003
ORB,-0.65835,-0.60349
ORB,-0.65835,-0.16958
ORB,-0.65835,0.39899999999999997
ORB,-0.65337,-0.43392
ORB,-0.6483800000000001,-0.48878
ORB,-0.63342,0.36409
ORB,-0.62344,0.31421
ORB,-0.61347,0.44888
ORB,-0.5935199999999999,0.56858
ORB,-0.58853,0.49875
ORB,-0.57855,-0.49875
ORB,-0.57855,0.39400999999999997
ORB,-0.5635899999999999,-0.37406
ORB,-0.5635899999999999,0.63342
ORB,-0.5586,0.46883
ORB,-0.55362,0.52369
ORB,-0.5486300000000001,-0.58853
ORB,-0.5486300000000001,-0.5187
ORB,-0.52868,0.5586
ORB,-0.52369,0.6483800000000001
ORB,-0.50873,-0.66833
ORB,-0.50873,-0.6384
ORB,-0.50374,0.51372
ORB,-0.49377,-0.50873
ORB,-0.46883,0.67332
ORB,-0.46384,-0.63342
ORB,-0.45885,0.5985
ORB,-0.42893000000000003,0.60848
ORB,-0.42394,-0.55362
ORB,-0.41397,0.6783
ORB,-0.40898,0.7481300000000001
ORB,-0.40399,-0.65835
ORB,-0.39899999999999997,0.67332
ORB,-0.39899999999999997,0.77805
ORB,-0.36908,-0.72818
ORB,-0.36908,-0.5985
ORB,-0.36908,0.62344
ORB,-0.3591,-0.73815
ORB,-0.33416,0.61845
ORB,-0.30923,0.79302
ORB,-0.29925,-0.62843
ORB,-0.28928000000000004,0.6483800000000001
ORB,-0.2793,0.73317
ORB,-0.24439,-0.58354
ORB,-0.24439,0.73815
ORB,-0.23440999999999998,0.8279299999999999
PUPIL,-0.22444,0.13466
ORB,-0.21445999999999998,-0.70823
PUPIL,-0.20948000000000003,0.024938
PUPIL,-0.1995,-0.0099751
PUPIL,-0.17955,-0.084788
PUPIL,-0.17955,0.24439
ORB,-0.17955,0.7182
PUPIL,-0.16958,0.074813
PUPIL,-0.16958,0.11470999999999999
ORB,-0.16958,0.7630899999999999
ORB,-0.16459000000000001,0.78803
ORB,-0.14962999999999999,-0.70324
PUPIL,-0.14464000000000002,-0.0049875
PUPIL,-0.12968,-0.054863
PUPIL,-0.12469000000000001,0.054863
PUPIL,-0.12469000000000001,0.16459000000000001
PUPIL,-0.1197,0.23440999999999998
ORB,-0.1197,0.68329
PUPIL,-0.10973,0.14962999999999999
ORB,-0.09975099999999999,0.8528700000000001
ORB,-0.084788,-0.65337
ORB,-0.0798,0.76808
ORB,-0.074813,-0.72319
PUPIL,-0.069825,-0.0049875
PUPIL,-0.06483799999999999,0.26434
PUPIL,-0.05985,0.19451
PUPIL,-0.054863,0.094763
PUPIL,-0.049875,-0.06483799999999999
PUPIL,-0.044888,0.16459000000000001
ORB,-0.0399,0.75312
PUPIL,-0.034913,-0.094763
PUPIL,-0.029925,-0.01995
PUPIL,-0.024938,0.089776
ORB,-0.01995,-0.61347
ORB,-0.01995,0.8678299999999999
PUPIL,-0.0099751,0.12469000000000001
PUPIL,-0.0049875,0.044888
PUPIL,-0.0049875,0.17955
ORB,-1.1102e-16,-0.6384
ORB,0.0049875,-0.7481300000000001
PUPIL,0.0049875,0.25436
ORB,0.024938,-0.68329
PUPIL,0.029925,-0.05985
ORB,0.0399,0.72319
ORB,0.054863,0.8329200000000001
PUPIL,0.069825,0.094763
PUPIL,0.074813,0.029925
PUPIL,0.074813,0.13965
PUPIL,0.074813,0.19451
ORB,0.084788,0.7979999999999999
PUPIL,0.094763,0.11470999999999999
PUPIL,0.09975099999999999,-0.0798
PUPIL,0.10474000000000001,-0.0099751
PUPIL,0.10973,0.20948000000000003
ORB,0.10973,0.70324
ORB,0.11470999999999999,-0.6483800000000001
ORB,0.11470999999999999,-0.58853
PUPIL,0.12968,0.024938
PUPIL,0.13466,-0.0399
PUPIL,0.13466,0.089776
PUPIL,0.13466,0.1596
ORB,0.17456,-0.72818
ORB,0.17456,0.73317
ORB,0.1995,0.72818
ORB,0.22444,-0.65835
ORB,0.22444,0.83791
ORB,0.24938000000000002,-0.61845
ORB,0.26434,0.66833
ORB,0.26434,0.7481300000000001
ORB,0.29925,-0.60349
ORB,0.32918000000000003,-0.65835
ORB,0.34913,-0.5187
ORB,0.34913,0.73317
ORB,0.38903000000000004,0.66833
ORB,0.39400999999999997,0.80798
ORB,0.39899999999999997,0.76808
ORB,0.43392,-0.5586
ORB,0.44388999999999995,-0.6384
ORB,0.45885,0.6783
ORB,0.46384,0.5935199999999999
ORB,0.50374,0.70324
ORB,0.5187,-0.50873
ORB,0.52369,-0.61845
ORB,0.53865,0.5486300000000001
ORB,0.56858,-0.39400999999999997
ORB,0.57855,0.53865
ORB,0.58354,-0.55362
ORB,0.58354,-0.52868
ORB,0.5935199999999999,0.65835
ORB,0.5985,0.38404
ORB,0.5985,0.5187
ORB,0.60848,-0.39899999999999997
ORB,0.61845,-0.42394
ORB,0.62843,0.55362
ORB,0.65835,0.23440999999999998
ORB,0.65835,0.34913
ORB,0.66833,-0.48878
ORB,0.67332,-0.34913
ORB,0.6783,0.38903000000000004
ORB,0.68329,0.45885
ORB,0.6932699999999999,-0.0798
ORB,0.69825,0.52369
ORB,0.70823,-0.29425999999999997
ORB,0.71322,-0.4389
ORB,0.72319,0.21945
ORB,0.72319,0.2793
ORB,0.72818,0.06483799999999999
ORB,0.73317,0.46384
ORB,0.7481300000000001,-0.38404
ORB,0.7481300000000001,0.13965
ORB,0.75312,-0.38404
ORB,0.75312,0.21945
ORB,0.76808,0.32918000000000003
ORB,0.77307,-0.19451
ORB,0.78304,0.36409
ORB,0.78304,0.37905
ORB,0.7979999999999999,0.23440999999999998
ORB,0.80299,0.11470999999999999
ORB,0.82294,-0.0049875
ORB,0.9127200000000001,0.27431
ORB,-0.7715,0.273
ORB,-0.7317,0.0058
ORB,-0.7786,-0.212
ORB,-0.7371,0.1985
ORB,-0.7435,-0.2769
ORB,-0.6853,0.2074
ORB,-0.7216,0.2667
ORB,-0.7014,0.33
ORB,-0.7053,0.432
ORB,-0.673,-0.0532
ORB,-0.6738,0.4784
ORB,-0.6757,-0.3039
ORB,-0.6637,0.2357
ORB,-0.6558,0.226
ORB,-0.6721,-0.5847
ORB,-0.6512,-0.1505
ORB,-0.6641,0.377
ORB,-0.6693,-0.4418
ORB,-0.629,-0.4879
ORB,-0.6531,0.3899
ORB,-0.5991,0.2942
ORB,-0.5976,0.4427
ORB,-0.6103,0.5601
ORB,-0.6038,0.5168
ORB,-0.5503,-0.4751
ORB,-0.5754,0.417
ORB,-0.5705,-0.3694
ORB,-0.5844,0.6184
ORB,-0.5623,0.4851
ORB,-0.5691,0.499
ORB,-0.5375,-0.6053
ORB,-0.5399,-0.5164
ORB,-0.5432,0.5627
ORB,-0.5359,0.6366
ORB,-0.5234,-0.6702
ORB,-0.5333,-0.6564
ORB,-0.501,0.5239
ORB,-0.4988,-0.5034
ORB,-0.4725,0.6496
ORB,-0.4657,-0.6217
ORB,-0.4422,0.5896
ORB,-0.4248,0.6105
ORB,-0.4152,-0.5515
ORB,-0.4269,0.6855
ORB,-0.4041,0.7644
ORB,-0.4196,-0.6488
ORB,-0.4153,0.6596
ORB,-0.3819,0.786
ORB,-0.371,-0.7406
ORB,-0.3851,-0.6006
ORB,-0.3486,0.6027
ORB,-0.3448,-0.7638
ORB,-0.3255,0.6389
ORB,-0.3291,0.8168
ORB,-0.2716,-0.5988
