,X,Y
GLOB_1,4.7819,5.2404
GLOB_1,5.0324,5.0996
GLOB_1,5.3018,5.0932
GLOB_1,4.6483,4.537
GLOB_1,4.9403,5.4893
GLOB_1,4.7715,5.3611
GLOB_1,5.0772,5.2065
GLOB_1,4.8989,4.9833
GLOB_1,4.7145,4.7737
GLOB_1,5.2261,4.7664
GLOB_1,4.7418,5.4754
GLOB_1,4.7291,5.4109
GLOB_1,5.1099,4.5666
GLOB_1,4.5479,4.9246
GLOB_1,4.6088,5.4474
GLOB_1,5.3759,4.8234
GLOB_1,5.3736,5.0952
GLOB_1,4.9403,4.7393
GLOB_1,5.4783,4.7504
GLOB_1,4.7338,4.8818
GLOB_1,5.4566,4.7802
GLOB_1,5.3727,5.0574
GLOB_1,5.2331,4.6916
GLOB_1,5.2661,5.0141
GLOB_1,4.92,5.2122
GLOB_1,5.0552,5.4664
GLOB_1,4.6807,5.1879
GLOB_1,4.6637,5.023
GLOB_1,5.0114,5.0097
GLOB_1,5.2705,4.7304
GLOB_1,4.8464,4.8625
GLOB_1,5.4972,5.1848
GLOB_1,5.0162,5.2636
GLOB_1,4.5346,5.1374
GLOB_1,5.0967,4.7299
GLOB_1,4.7808,5.4159
GLOB_1,5.0592,5.4374
GLOB_1,4.624,4.6635
GLOB_1,4.8069,4.6379
GLOB_1,5.4716,4.6659
GLOB_1,4.9301,5.4166
GLOB_1,4.9515,4.7672
GLOB_1,4.6947,4.5666
GLOB_1,5.2659,5.4572
GLOB_1,5.3553,5.3991
GLOB_1,4.6515,5.1451
GLOB_1,5.1808,4.8269
GLOB_1,4.6677,4.8112
GLOB_1,5.385,5.3402
GLOB_1,4.6232,4.5009
GLOB_1,5.1865,4.759
GLOB_1,5.2241,4.5116
GLOB_1,5.2381,5.1802
GLOB_1,5.4489,4.9787
GLOB_1,5.4488,5.2813
GLOB_1,5.246,5.3664
GLOB_1,4.8142,5.1419
GLOB_1,4.9727,4.8811
GLOB_1,4.8151,5.0394
GLOB_1,4.716,4.89
GLOB_1,5.1087,5.4823
GLOB_1,4.7674,4.9736
GLOB_1,4.8443,4.9143
GLOB_1,5.2516,5.3241
GLOB_1,4.7765,5.4285
GLOB_1,5.3255,5.2195
GLOB_1,5.2262,5.1863
GLOB_1,5.3301,5.0406
GLOB_1,5.3895,5.4016
GLOB_1,4.5496,4.9362
GLOB_1,4.6302,5.1311
GLOB_1,4.9752,4.8271
GLOB_1,4.9941,4.9701
GLOB_1,4.6703,4.9045
GLOB_1,5.4681,5.4383
GLOB_1,5.1972,5.46
GLOB_1,4.9462,5.3667
GLOB_1,5.1389,5.0213
GLOB_1,5.2752,4.6147
GLOB_1,4.8833,5.4506
GLOB_1,5.4672,4.6514
GLOB_1,5.1404,4.7597
GLOB_1,5.4725,4.8176
GLOB_1,4.8688,5.3916
GLOB_1,4.5958,5.1782
GLOB_1,4.6916,4.8217
GLOB_1,5.4243,5.1554
GLOB_1,4.7858,4.9827
GLOB_1,5.0794,4.9302
GLOB_1,4.7809,5.1875
GLOB_1,4.9444,5.2991
GLOB_1,5.0675,5.444
GLOB_1,4.5494,5.2678
GLOB_1,5.3713,5.0045
GLOB_1,4.5174,5.0702
GLOB_1,5.4845,4.5237
GLOB_1,5.4965,5.4122
GLOB_1,4.7381,4.9637
GLOB_1,4.9914,4.9429
GLOB_1,4.7198,5.2835
GLOB_1,4.9799,4.5022
GLOB_1,5.0858,4.7379
GLOB_1,4.9892,4.5618
GLOB_1,5.1213,4.9257
GLOB_1,5.3409,5.2505
GLOB_1,5.0758,4.6543
GLOB_1,4.6121,5.2279
GLOB_1,5.329,5.1356
GLOB_1,5.4807,4.5733
GLOB_1,4.5623,4.9955
GLOB_1,4.6188,5.1547
GLOB_1,5.4255,4.5799
GLOB_1,4.7569,5.3209
GLOB_1,5.4109,4.9224
GLOB_1,4.8779,5.0352
GLOB_1,5.1791,5.338
GLOB_1,5.3405,4.715
GLOB_1,5.3747,4.6354
GLOB_1,5.4987,4.5209
GLOB_1,4.6347,5.3214
GLOB_1,4.7881,4.9405
GLOB_1,5.3357,5.2489
GLOB_1,4.9321,4.7275
GLOB_1,4.606,4.9961
GLOB_1,5.4062,4.6449
GLOB_1,5.1252,5.431
GLOB_1,4.5256,5.1462
GLOB_1,5.0024,4.587
GLOB_1,5.1838,4.71
GLOB_1,4.5215,5.3967
GLOB_1,5.2726,5.2793
GLOB_1,4.5056,4.915
GLOB_1,4.8221,5.2249
GLOB_1,5.2316,5.491
GLOB_1,4.5014,4.6004
GLOB_1,4.9453,4.8004
GLOB_1,5.0223,5.4201
GLOB_1,4.7892,5.0081
GLOB_1,4.9231,4.515
GLOB_1,5.372,5.2347
GLOB_1,5.3716,5.4951
GLOB_1,5.4307,5.3752
GLOB_1,5.0695,5.1925
GLOB_1,4.7791,5.0789
GLOB_1,5.3248,5.0109
GLOB_1,4.7983,4.5492
GLOB_1,5.1208,4.8338
GLOB_1,5.0369,5.1535
GLOB_1,4.9705,5.4685
GLOB_1,4.6313,4.8864
GLOB_1,4.8296,5.4933
GLOB_1,5.4965,4.8277
GLOB_1,4.9552,5.4416
GLOB_1,5.0579,4.9777
GLOB_1,5.41,4.6685
GLOB_1,4.9192,5.1614
GLOB_1,5.1816,5.2643
GLOB_1,4.75,5.4581
GLOB_1,4.5231,4.7009
GLOB_1,5.3984,5.3114
GLOB_1,5.0397,5.2628
GLOB_1,5.4635,4.8743
GLOB_1,4.6512,5.4943
GLOB_1,5.1954,4.8339
GLOB_1,4.7141,4.5128
GLOB_1,5.276,5.3593
GLOB_1,5.3445,4.645
GLOB_1,4.799,4.6927
GLOB_1,4.7517,5.2179
GLOB_1,5.4629,5.1221
GLOB_1,4.7507,5.1465
GLOB_1,5.1515,4.612
GLOB_1,4.9444,5.4232
GLOB_1,5.1113,5.3961
GLOB_1,5.4159,5.3834
GLOB_1,4.7461,4.5518
GLOB_1,5.4274,4.7273
GLOB_1,4.7224,4.6178
GLOB_1,5.4816,5.4416
GLOB_1,4.7864,4.5455
GLOB_1,5.1531,5.1732
GLOB_1,4.8738,4.6508
GLOB_1,4.5344,4.7043
GLOB_1,4.8365,4.7384
GLOB_1,4.9794,4.7892
GLOB_1,4.9418,5.2817
GLOB_1,4.5034,5.2287
GLOB_1,5.215,4.7172
GLOB_1,5.0181,5.0166
GLOB_1,5.3339,5.2202
GLOB_1,5.1395,4.6534
GLOB_1,4.5618,4.8922
GLOB_1,4.7244,5.2629
GLOB_1,4.5592,5.2022
GLOB_1,4.5293,4.5608
GLOB_1,5.0568,4.7695
GLOB_1,4.9164,4.6358
GLOB_1,4.8898,4.7581
GLOB_1,5.3322,5.2467
GLOB_1,5.2729,4.6175
GLOB_2,-4.5572,4.8208
GLOB_2,-4.6175,5.0859
GLOB_2,-5.3112,5.0704
GLOB_2,-5.426,4.531
GLOB_2,-4.5324,4.9494
GLOB_2,-4.6826,5.0074
GLOB_2,-4.5241,4.7857
GLOB_2,-4.8198,5.3055
GLOB_2,-5.3211,5.2481
GLOB_2,-5.3027,5.2319
GLOB_2,-4.7449,5.3005
GLOB_2,-4.7787,5.3368
GLOB_2,-5.3375,4.8196
GLOB_2,-4.916,5.2548
GLOB_2,-5.1621,5.0521
GLOB_2,-4.8786,4.6079
GLOB_2,-4.6828,4.6176
GLOB_2,-5.4104,4.6338
GLOB_2,-5.4275,5.1684
GLOB_2,-5.0329,4.5879
GLOB_2,-4.6205,4.9731
GLOB_2,-4.9378,4.5017
GLOB_2,-4.7546,5.4749
GLOB_2,-4.7182,4.7397
GLOB_2,-4.9709,5.4097
GLOB_2,-5.3644,5.0549
GLOB_2,-4.7311,4.8045
GLOB_2,-4.8947,5.335
GLOB_2,-4.6536,4.5619
GLOB_2,-4.5514,5.4545
GLOB_2,-4.6601,5.3645
GLOB_2,-4.778,5.0015
GLOB_2,-5.1105,5.4873
GLOB_2,-4.7202,4.7281
GLOB_2,-4.712,4.8954
GLOB_2,-4.8035,4.6854
GLOB_2,-5.4786,4.746
GLOB_2,-4.9565,5.1483
GLOB_2,-5.1665,4.8279
GLOB_2,-4.9316,4.7672
GLOB_2,-5.3788,5.1248
GLOB_2,-5.0569,5.3351
GLOB_2,-4.6515,4.6059
GLOB_2,-4.6063,4.6345
GLOB_2,-4.675,5.3722
GLOB_2,-4.6621,5.2525
GLOB_2,-5.2379,4.61
GLOB_2,-4.748,4.7307
GLOB_2,-5.3493,4.6813
GLOB_2,-5.2774,4.9036
GLOB_2,-5.177,5.2268
GLOB_2,-5.0997,5.0806
GLOB_2,-5.3873,5.0336
GLOB_2,-4.6601,5.0404
GLOB_2,-4.7094,5.3016
GLOB_2,-5.493,5.4149
GLOB_2,-5.3162,5.4707
GLOB_2,-4.9443,5.1614
GLOB_2,-5.3563,5.2831
GLOB_2,-5.2564,4.5345
GLOB_2,-4.9581,4.6161
GLOB_2,-5.2093,5.3928
GLOB_2,-4.5224,5.4282
GLOB_2,-4.558,5.1614
GLOB_2,-4.9177,5.1908
GLOB_2,-4.5429,5.0041
GLOB_2,-5.216,5.2615
GLOB_2,-4.959,4.9761
GLOB_2,-5.3768,4.9978
GLOB_2,-4.6998,4.5614
GLOB_2,-5.0692,5.0143
GLOB_2,-5.3136,4.9241
GLOB_2,-4.8752,4.5245
GLOB_2,-5.3959,4.6036
GLOB_2,-5.2229,4.7672
GLOB_2,-4.579,5.3797
GLOB_2,-5.2924,5.1719
GLOB_2,-5.3834,5.3569
GLOB_2,-5.225,4.7362
GLOB_2,-4.8205,4.7733
GLOB_2,-5.3185,5.1885
GLOB_2,-5.3356,4.7837
GLOB_2,-4.8822,5.211
GLOB_2,-4.5864,4.8433
GLOB_2,-5.3401,5.1384
GLOB_2,-4.5149,4.5257
GLOB_2,-4.9435,5.4751
GLOB_2,-5.1788,5.2161
GLOB_2,-5.1541,5.0482
GLOB_2,-5.3657,4.9292
GLOB_2,-5.4073,4.9139
GLOB_2,-5.2604,4.6455
GLOB_2,-4.9143,4.7818
GLOB_2,-4.8784,5.2092
GLOB_2,-5.2622,5.3447
GLOB_2,-5.1463,5.0351
GLOB_2,-4.9964,4.5611
GLOB_2,-4.7799,5.277
GLOB_2,-4.9054,4.9727
GLOB_2,-5.067,5.1862
GLOB_2,-4.6539,5.2923
GLOB_2,-4.959,5.442
GLOB_2,-4.5691,5.3853
GLOB_2,-5.4557,5.0247
GLOB_2,-4.8094,4.5698
GLOB_2,-5.251,4.8063
GLOB_2,-4.9716,5.3088
GLOB_2,-4.7334,4.9177
GLOB_2,-5.0728,5.3637
GLOB_2,-4.8296,5.3724
GLOB_2,-5.2089,4.549
GLOB_2,-4.6038,4.621
GLOB_2,-5.0467,4.8856
GLOB_2,-4.8252,5.018
GLOB_2,-5.1115,4.5272
GLOB_2,-5.0897,4.8756
GLOB_2,-5.4666,5.1979
GLOB_2,-4.541,4.5194
GLOB_2,-5.1125,5.1944
GLOB_2,-5.3183,5.1872
GLOB_2,-4.5121,4.935
GLOB_2,-4.8775,4.5791
GLOB_2,-5.467,4.6177
GLOB_2,-4.7406,5.2564
GLOB_2,-4.8461,4.7994
GLOB_2,-5.2382,5.3523
GLOB_2,-4.8447,4.8826
GLOB_2,-5.4836,5.3777
GLOB_2,-4.9256,5.4647
GLOB_2,-4.965,4.7755
GLOB_2,-5.3361,5.2153
GLOB_2,-5.0706,4.7753
GLOB_2,-4.5079,5.2806
GLOB_2,-4.9319,4.9234
GLOB_2,-5.1197,4.8547
