,X,Y
GLOB_1,-0.78803,0.049875
GLOB_1,-0.6633399999999999,-2.2204e-16
GLOB_1,-0.75312,-0.0049875
GLOB_1,-0.49377,-0.014962999999999999
GLOB_1,-0.82294,-0.01995
GLOB_1,-0.41895,-0.034913
GLOB_1,-0.61347,-0.044888
GLOB_1,-0.52369,-0.069825
GLOB_1,-0.78304,-0.069825
GLOB_1,-0.8329200000000001,-0.069825
GLOB_1,-0.65337,-0.089776
GLOB_1,-0.60848,-0.10474000000000001
GLOB_1,-0.72319,-0.11470999999999999
GLOB_1,-0.45885,-0.15461
GLOB_1,-0.5187,-0.16459000000000001
GLOB_1,-0.62344,-0.18454
GLOB_1,-0.39899999999999997,-0.18953
GLOB_1,-0.71322,-0.18953
GLOB_1,-0.53367,-0.19451
GLOB_1,-0.4788,-0.22943000000000002
GLOB_1,-0.41397,-0.2394
GLOB_1,-0.5985,-0.24439
GLOB_1,-0.71322,-0.25436
GLOB_1,-0.47381999999999996,-0.29425999999999997
GLOB_1,-0.5935199999999999,-0.30424
GLOB_1,-0.45387,-0.32419000000000003
GLOB_1,-0.53367,-0.35411
GLOB_2,0.47381999999999996,0.53367
GLOB_2,0.36908,0.5187
GLOB_2,0.52369,0.44388999999999995
GLOB_2,0.30923,0.42893000000000003
GLOB_2,0.41397,0.42394
GLOB_2,0.41397,0.36908
GLOB_2,0.53865,0.3591
GLOB_2,0.49875,0.3591
GLOB_2,0.30923,0.33416
GLOB_2,0.32918000000000003,0.32419000000000003
GLOB_2,0.33915,0.30424
GLOB_2,0.41397,0.29925
GLOB_2,0.53865,0.25436
GLOB_2,0.24938000000000002,0.23440999999999998
GLOB_2,0.48878,0.22943000000000002
GLOB_2,0.32419000000000003,0.21445999999999998
GLOB_2,0.41397,0.20948000000000003
GLOB_2,0.42394,0.16459000000000001
GLOB_3,0.58354,-0.134913
GLOB_3,0.52369,-0.0849875
GLOB_3,0.63342,-0.044888
GLOB_3,0.5935199999999999,-0.094763
GLOB_3,0.5635899999999999,-0.10474000000000001
GLOB_3,0.53367,-0.12968
GLOB_3,0.65835,-0.13466
GLOB_3,0.50374,-0.13965
GLOB_3,0.71322,-0.14464000000000002
GLOB_3,0.5635899999999999,-0.14464000000000002
GLOB_3,0.64339,-0.18953
GLOB_3,0.58853,-0.20948000000000003
GLOB_3,0.45885,-0.21445999999999998
GLOB_3,0.53367,-0.22444
GLOB_3,0.6384,-0.22943000000000002
GLOB_3,0.72818,-0.23440999999999998
GLOB_3,0.6932699999999999,-0.2394
GLOB_3,0.56858,-0.29425999999999997
GLOB_3,0.68828,-0.30424
GLOB_3,0.5935199999999999,-0.3192
GLOB_1,-0.9402,-0.1958
GLOB_1,-0.5375,0.2447
GLOB_1,-0.8669,0.1338
GLOB_1,-0.2509,-0.0293
GLOB_1,-0.5354,-0.0931
GLOB_1,-0.5421,-0.2556
GLOB_1,-0.8444,-0.0384
GLOB_1,-0.746,-0.0147
GLOB_1,-0.6313,0.0115
GLOB_1,-0.5851,-0.1898
GLOB_1,-0.5593,-0.2111
GLOB_1,-0.7866,0.0946
GLOB_1,-0.9581,-0.0067
GLOB_1,-0.3207,-0.2086
GLOB_1,-0.7478,-0.1245
GLOB_1,-0.7814,-0.175
GLOB_1,-0.4447,-0.4726
GLOB_1,-0.8301,-0.1494
GLOB_1,-0.3645,-0.292
GLOB_1,-0.2085,-0.4072
GLOB_1,-0.2311,-0.3521
GLOB_1,-0.8869,-0.2356
GLOB_1,-0.7783,-0.4611
GLOB_1,-0.7371,-0.0
GLOB_1,-0.5254,-0.3535
GLOB_1,-0.7228,-0.3154
GLOB_1,-0.7979,-0.5215
GLOB_2,0.4458,0.2965
GLOB_2,0.2922,0.5127
GLOB_2,0.3168,0.3485
GLOB_2,0.3778,0.1785
GLOB_2,0.1846,0.2195
GLOB_2,0.2877,0.4792
GLOB_2,0.5912,0.4827
GLOB_2,0.2576,0.4383
GLOB_2,0.4642,0.4497
GLOB_2,0.3759,0.2809
GLOB_2,0.2972,0.0941
GLOB_2,0.4841,0.1627
GLOB_2,0.4305,0.3162
GLOB_2,0.4027,-0.0058
GLOB_2,0.701,0.1072
GLOB_2,0.2512,0.3964
GLOB_2,0.5502,0.0956
GLOB_2,0.6591,0.0928
GLOB_3,0.3573,-0.2375
GLOB_3,0.7044,-0.1539
GLOB_3,0.3784,-0.1957
GLOB_3,0.3375,0.1117
GLOB_3,0.6115,-0.0398
GLOB_3,0.6879,-0.1616
GLOB_3,0.3701,-0.0344
GLOB_3,0.7596,-0.1165
GLOB_3,0.5471,-0.0303
GLOB_3,0.6368,0.042
GLOB_3,0.5251,-0.1971
GLOB_3,0.4638,-0.3749
GLOB_3,0.5908,-0.3943
GLOB_3,0.6348,0.0619
GLOB_3,0.3936,-0.337
GLOB_3,0.7378,-0.4653
GLOB_3,0.4442,-0.1352
GLOB_3,0.2762,-0.3069
GLOB_3,0.7763,-0.219
GLOB_3,0.6258,-0.0662
GLOB_1,-0.5942,-0.1426
GLOB_1,-0.9553,0.2996
GLOB_1,-1.0235,-0.2239
GLOB_1,-0.287,-0.1398
GLOB_1,-0.8869,-0.0853
GLOB_1,-0.6605,-0.1192
GLOB_1,-0.7277,0.1286
GLOB_1,-0.5444,0.0474
GLOB_1,-0.8392,0.0083
GLOB_1,-0.8149,-0.3245
GLOB_1,-0.5912,0.0408
GLOB_1,-0.7891,-0.3217
GLOB_1,-0.5579,-0.024
GLOB_1,-0.278,0.1385
GLOB_1,-0.6391,-0.0546
GLOB_1,-0.3871,0.0295
GLOB_1,-0.2964,-0.3139
GLOB_1,-0.7271,-0.0722
GLOB_1,-0.4302,-0.2517
