,X,Y
GLOB_1,-0.78803,0.049875
GLOB_1,-0.6633399999999999,-2.2204e-16
GLOB_1,-0.75312,-0.0049875
GLOB_1,-0.49377,-0.014962999999999999
GLOB_1,-0.82294,-0.01995
GLOB_1,-0.41895,-0.034913
GLOB_1,-0.61347,-0.044888
GLOB_1,-0.52369,-0.069825
GLOB_1,-0.78304,-0.069825
GLOB_1,-0.8329200000000001,-0.069825
GLOB_1,-0.65337,-0.089776
GLOB_1,-0.60848,-0.10474000000000001
GLOB_1,-0.72319,-0.11470999999999999
GLOB_1,-0.45885,-0.15461
GLOB_1,-0.5187,-0.16459000000000001
GLOB_1,-0.62344,-0.18454
GLOB_1,-0.39899999999999997,-0.18953
GLOB_1,-0.71322,-0.18953
GLOB_1,-0.53367,-0.19451
GLOB_1,-0.4788,-0.22943000000000002
GLOB_1,-0.41397,-0.2394
GLOB_1,-0.5985,-0.24439
GLOB_1,-0.71322,-0.25436
GLOB_1,-0.47381999999999996,-0.29425999999999997
GLOB_1,-0.5935199999999999,-0.30424
GLOB_1,-0.45387,-0.32419000000000003
GLOB_1,-0.53367,-0.35411
GLOB_2,0.47381999999999996,0.53367
GLOB_2,0.36908,0.5187
GLOB_2,0.52369,0.44388999999999995
GLOB_2,0.30923,0.42893000000000003
GLOB_2,0.41397,0.42394
GLOB_2,0.41397,0.36908
GLOB_2,0.53865,0.3591
GLOB_2,0.49875,0.3591
GLOB_2,0.30923,0.33416
GLOB_2,0.32918000000000003,0.32419000000000003
GLOB_2,0.33915,0.30424
GLOB_2,0.41397,0.29925
GLOB_2,0.53865,0.25436
GLOB_2,0.24938000000000002,0.23440999999999998
GLOB_2,0.48878,0.22943000000000002
GLOB_2,0.32419000000000003,0.21445999999999998
GLOB_2,0.41397,0.20948000000000003
GLOB_2,0.42394,0.16459000000000001
GLOB_3,0.58354,-0.134913
GLOB_3,0.52369,-0.0849875
GLOB_3,0.63342,-0.044888
GLOB_3,0.5935199999999999,-0.094763
GLOB_3,0.5635899999999999,-0.10474000000000001
GLOB_3,0.53367,-0.12968
GLOB_3,0.65835,-0.13466
GLOB_3,0.50374,-0.13965
GLOB_3,0.71322,-0.14464000000000002
GLOB_3,0.5635899999999999,-0.14464000000000002
GLOB_3,0.64339,-0.18953
GLOB_3,0.58853,-0.20948000000000003
GLOB_3,0.45885,-0.21445999999999998
GLOB_3,0.53367,-0.22444
GLOB_3,0.6384,-0.22943000000000002
GLOB_3,0.72818,-0.23440999999999998
GLOB_3,0.6932699999999999,-0.2394
GLOB_3,0.56858,-0.29425999999999997
GLOB_3,0.68828,-0.30424
GLOB_3,0.5935199999999999,-0.3192
GLOB_1,-0.7636,-0.0
GLOB_1,-0.6571,0.0132
GLOB_1,-0.7247,-0.0742
GLOB_1,-0.5413,-0.0899
GLOB_1,-0.8912,-0.0342
GLOB_1,-0.3741,-0.0784
GLOB_1,-0.5486,-0.0859
GLOB_1,-0.5336,0.005
GLOB_1,-0.7492,-0.0991
GLOB_1,-0.8696,-0.0689
GLOB_1,-0.5827,-0.0615
GLOB_1,-0.6444,-0.0888
GLOB_1,-0.7885,-0.103
GLOB_1,-0.4437,-0.1036
GLOB_1,-0.5398,-0.124
GLOB_1,-0.6844,-0.1885
GLOB_1,-0.4705,-0.1365
GLOB_1,-0.6407,-0.1775
GLOB_1,-0.598,-0.201
GLOB_1,-0.4262,-0.2508
GLOB_1,-0.412,-0.1796
GLOB_1,-0.5643,-0.1876
GLOB_1,-0.659,-0.3181
GLOB_1,-0.5427,-0.2898
GLOB_1,-0.6148,-0.2879
GLOB_1,-0.4967,-0.2993
GLOB_1,-0.4873,-0.3815
GLOB_2,0.4588,0.6064
GLOB_2,0.3148,0.481
GLOB_2,0.4774,0.4884
GLOB_2,0.3434,0.4947
GLOB_2,0.379,0.4781
GLOB_2,0.4755,0.35
GLOB_2,0.4677,0.3313
GLOB_2,0.5131,0.3949
GLOB_2,0.3353,0.3528
GLOB_2,0.2923,0.3478
GLOB_2,0.3683,0.2509
GLOB_2,0.4463,0.3293
GLOB_2,0.5282,0.2636
GLOB_2,0.1803,0.2195
GLOB_2,0.5516,0.2459
GLOB_2,0.3761,0.2015
GLOB_2,0.3707,0.1783
GLOB_2,0.4254,0.1742
GLOB_3,0.6349,-0.1127
GLOB_3,0.4725,-0.0949
GLOB_3,0.6021,-0.1158
GLOB_3,0.6367,-0.0326
GLOB_3,0.5649,-0.0704
GLOB_3,0.4997,-0.115
GLOB_3,0.7191,-0.1937
GLOB_3,0.5722,-0.1378
GLOB_3,0.6832,-0.1295
GLOB_3,0.5514,-0.1614
GLOB_3,0.6625,-0.2197
GLOB_3,0.5693,-0.2215
GLOB_3,0.4691,-0.2744
GLOB_3,0.5834,-0.1811
GLOB_3,0.6227,-0.2918
GLOB_3,0.7343,-0.2067
GLOB_3,0.6242,-0.2387
GLOB_3,0.5399,-0.3103
GLOB_3,0.6737,-0.3268
GLOB_3,0.6199,-0.2947
GLOB_1,-0.7797,0.0028
GLOB_1,-0.643,-0.0162
GLOB_1,-0.7003,-0.0038
GLOB_1,-0.4695,0.0079
GLOB_1,-0.7658,0.0037
GLOB_1,-0.4658,-0.0549
GLOB_1,-0.5503,-0.0757
GLOB_1,-0.4979,-0.1043
GLOB_1,-0.8489,-0.1012
GLOB_1,-0.8288,-0.1215
GLOB_1,-0.5862,-0.1383
GLOB_1,-0.5381,-0.0785
GLOB_1,-0.7715,-0.1333
GLOB_1,-0.4557,-0.2263
GLOB_1,-0.482,-0.1646
GLOB_1,-0.6208,-0.1196
GLOB_1,-0.3444,-0.2041
GLOB_1,-0.6725,-0.2553
GLOB_1,-0.5351,-0.2254
